ISO,countryname,Year,fdi_inflow
BRN,Brunei Darussalam,2000,549.60725
BRN,Brunei Darussalam,2001,526.42565
BRN,Brunei Darussalam,2002,1035.52846
BRN,Brunei Darussalam,2003,3298.07426
BRN,Brunei Darussalam,2004,205.60847
BRN,Brunei Darussalam,2005,289.48364
BRN,Brunei Darussalam,2006,434.02954
BRN,Brunei Darussalam,2007,260.1671
BRN,Brunei Darussalam,2008,322.58656
BRN,Brunei Darussalam,2009,370.08188
BRN,Brunei Darussalam,2010,480.72255
BRN,Brunei Darussalam,2011,691.17027
BRN,Brunei Darussalam,2012,864.90553
BRN,Brunei Darussalam,2013,775.642
BRN,Brunei Darussalam,2014,567.88973
BRN,Brunei Darussalam,2015,173.24334
BRN,Brunei Darussalam,2016,-149.64129
BRN,Brunei Darussalam,2017,460.08371
BRN,Brunei Darussalam,2018,517.30311
BRN,Brunei Darussalam,2019,374.57329
BRN,Brunei Darussalam,2020,577.44312
BRN,Brunei Darussalam,2021,204.74934
BRN,Brunei Darussalam,2022,-292.41615
BRN,Brunei Darussalam,2023,-51.0671
KHM,Cambodia,2000,148.504
KHM,Cambodia,2001,149.397
KHM,Cambodia,2002,145.106
KHM,Cambodia,2003,83.981
KHM,Cambodia,2004,131.416
KHM,Cambodia,2005,381.18
KHM,Cambodia,2006,483.209
KHM,Cambodia,2007,867.289
KHM,Cambodia,2008,876.88449
KHM,Cambodia,2009,984.71307
KHM,Cambodia,2010,1404.31545
KHM,Cambodia,2011,1538.88342
KHM,Cambodia,2012,2003.849
KHM,Cambodia,2013,2068.471
KHM,Cambodia,2014,1853.471
KHM,Cambodia,2015,1822.804
KHM,Cambodia,2016,2475.916
KHM,Cambodia,2017,2785.73085
KHM,Cambodia,2018,3212.63345
KHM,Cambodia,2019,3663.033
KHM,Cambodia,2020,3624.645
KHM,Cambodia,2021,3483.462
KHM,Cambodia,2022,3578.831
KHM,Cambodia,2023,3958.792
IDN,Indonesia,2000,-4550.37
IDN,Indonesia,2001,-2977.39
IDN,Indonesia,2002,145.09
IDN,Indonesia,2003,-596.92
IDN,Indonesia,2004,1895.89
IDN,Indonesia,2005,8336.257
IDN,Indonesia,2006,4914.221
IDN,Indonesia,2007,6928.471
IDN,Indonesia,2008,9318.454
IDN,Indonesia,2009,4877.87
IDN,Indonesia,2010,13770.58
IDN,Indonesia,2011,19241.25
IDN,Indonesia,2012,19137.87
IDN,Indonesia,2013,18816.66
IDN,Indonesia,2014,21810.52
IDN,Indonesia,2015,16641.45
IDN,Indonesia,2016,3921.23
IDN,Indonesia,2017,20579.23
IDN,Indonesia,2018,20563.47
IDN,Indonesia,2019,23883.25
IDN,Indonesia,2020,18590.96
IDN,Indonesia,2021,21131.11
IDN,Indonesia,2022,25389.92
IDN,Indonesia,2023,21627.67
LAO,Lao People's Democratic Republic,2000,33.89
LAO,Lao People's Democratic Republic,2001,23.9
LAO,Lao People's Democratic Republic,2002,4.5
LAO,Lao People's Democratic Republic,2003,19.4
LAO,Lao People's Democratic Republic,2004,17.0
LAO,Lao People's Democratic Republic,2005,27.7
LAO,Lao People's Democratic Republic,2006,187.4
LAO,Lao People's Democratic Republic,2007,323.5
LAO,Lao People's Democratic Republic,2008,227.7
LAO,Lao People's Democratic Republic,2009,189.5
LAO,Lao People's Democratic Republic,2010,278.8
LAO,Lao People's Democratic Republic,2011,300.75
LAO,Lao People's Democratic Republic,2012,617.75539
LAO,Lao People's Democratic Republic,2013,681.39726
LAO,Lao People's Democratic Republic,2014,867.64612
LAO,Lao People's Democratic Republic,2015,1077.75991
LAO,Lao People's Democratic Republic,2016,935.29617
LAO,Lao People's Democratic Republic,2017,1686.27579
LAO,Lao People's Democratic Republic,2018,1358.01951
LAO,Lao People's Democratic Republic,2019,755.52412
LAO,Lao People's Democratic Republic,2020,967.70609
LAO,Lao People's Democratic Republic,2021,1071.91372
LAO,Lao People's Democratic Republic,2022,635.82099
LAO,Lao People's Democratic Republic,2023,1668.16322
MYS,Malaysia,2000,3787.63158
MYS,Malaysia,2001,553.94737
MYS,Malaysia,2002,3203.42105
MYS,Malaysia,2003,2473.15789
MYS,Malaysia,2004,4624.21053
MYS,Malaysia,2005,4065.39058
MYS,Malaysia,2006,6060.22605
MYS,Malaysia,2007,8594.73407
MYS,Malaysia,2008,7171.97849
MYS,Malaysia,2009,1453.0393
MYS,Malaysia,2010,9060.0421
MYS,Malaysia,2011,12197.57647
MYS,Malaysia,2012,9238.83061
MYS,Malaysia,2013,12115.46728
MYS,Malaysia,2014,10877.3452
MYS,Malaysia,2015,10082.34106
MYS,Malaysia,2016,11335.92773
MYS,Malaysia,2017,9398.81454
MYS,Malaysia,2018,7618.3377
MYS,Malaysia,2019,7812.77716
MYS,Malaysia,2020,3159.5149
MYS,Malaysia,2021,12173.37493
MYS,Malaysia,2022,16939.60068
MYS,Malaysia,2023,8652.706
MMR,Myanmar,2000,91.115
MMR,Myanmar,2001,15.29
MMR,Myanmar,2002,17.709
MMR,Myanmar,2003,1855.15
MMR,Myanmar,2004,729.93
MMR,Myanmar,2005,110.35
MMR,Myanmar,2006,724.245
MMR,Myanmar,2007,2.194
MMR,Myanmar,2008,603.425
MMR,Myanmar,2009,27.15
MMR,Myanmar,2010,6669.403
MMR,Myanmar,2011,1117.686
MMR,Myanmar,2012,496.877
MMR,Myanmar,2013,584.298
MMR,Myanmar,2014,946.223
MMR,Myanmar,2015,3141.38
MMR,Myanmar,2016,2929.606
MMR,Myanmar,2017,4408.891
MMR,Myanmar,2018,2891.919
MMR,Myanmar,2019,2508.877
MMR,Myanmar,2020,1907.15404
MMR,Myanmar,2021,2066.60647
MMR,Myanmar,2022,1238.5
MMR,Myanmar,2023,1520.172
PHL,Philippines,2000,2240.0
PHL,Philippines,2001,195.0
PHL,Philippines,2002,1542.0
PHL,Philippines,2003,491.0
PHL,Philippines,2004,688.0
PHL,Philippines,2005,1850.936
PHL,Philippines,2006,2928.791
PHL,Philippines,2007,2823.719
PHL,Philippines,2008,1544.028
PHL,Philippines,2009,1990.338
PHL,Philippines,2010,1070.38694
PHL,Philippines,2011,2007.15073
PHL,Philippines,2012,3215.41516
PHL,Philippines,2013,3737.37174
PHL,Philippines,2014,5739.57402
PHL,Philippines,2015,5639.15596
PHL,Philippines,2016,8279.54827
PHL,Philippines,2017,10256.4424
PHL,Philippines,2018,9948.59882
PHL,Philippines,2019,8671.36587
PHL,Philippines,2020,6822.13329
PHL,Philippines,2021,11983.36333
PHL,Philippines,2022,5939.21499
PHL,Philippines,2023,6209.69279
SGP,Singapore,2000,14751.79238
SGP,Singapore,2001,17301.64311
SGP,Singapore,2002,5338.35216
SGP,Singapore,2003,16353.24708
SGP,Singapore,2004,22324.8907
SGP,Singapore,2005,17747.77698
SGP,Singapore,2006,37480.37988
SGP,Singapore,2007,42608.91779
SGP,Singapore,2008,11810.14376
SGP,Singapore,2009,18531.87671
SGP,Singapore,2010,57460.08463
SGP,Singapore,2011,39890.36238
SGP,Singapore,2012,60102.98636
SGP,Singapore,2013,56671.62151
SGP,Singapore,2014,73286.61063
SGP,Singapore,2015,59700.10838
SGP,Singapore,2016,67507.58206
SGP,Singapore,2017,85354.79713
SGP,Singapore,2018,73115.08687
SGP,Singapore,2019,97532.61719
SGP,Singapore,2020,74857.47335
SGP,Singapore,2021,126674.1001
SGP,Singapore,2022,141117.6883
SGP,Singapore,2023,159669.6225
THA,Thailand,2000,3410.119
THA,Thailand,2001,5073.202
THA,Thailand,2002,3355.416
THA,Thailand,2003,5222.348
THA,Thailand,2004,5858.576
THA,Thailand,2005,8215.6372
THA,Thailand,2006,8917.47035
THA,Thailand,2007,9194.78515
THA,Thailand,2008,8054.35147
THA,Thailand,2009,5361.81182
THA,Thailand,2010,14554.95
THA,Thailand,2011,1370.363
THA,Thailand,2012,9135.216
THA,Thailand,2013,15493.02
THA,Thailand,2014,4809.074
THA,Thailand,2015,5623.782
THA,Thailand,2016,2491.28
THA,Thailand,2017,7874.923
THA,Thailand,2018,11705.38
THA,Thailand,2019,3765.093
THA,Thailand,2020,-6283.98
THA,Thailand,2021,14417.09
THA,Thailand,2022,11082.18
THA,Thailand,2023,4547.811
VNM,Viet Nam,2000,1289.0
VNM,Viet Nam,2001,1300.0
VNM,Viet Nam,2002,1400.0
VNM,Viet Nam,2003,1450.0
VNM,Viet Nam,2004,1610.0
VNM,Viet Nam,2005,1954.0
VNM,Viet Nam,2006,2400.0
VNM,Viet Nam,2007,6981.0
VNM,Viet Nam,2008,9578.99749
VNM,Viet Nam,2009,7600.0
VNM,Viet Nam,2010,8000.0
VNM,Viet Nam,2011,7519.0
VNM,Viet Nam,2012,8368.0
VNM,Viet Nam,2013,8900.0
VNM,Viet Nam,2014,9200.0
VNM,Viet Nam,2015,11800.0
VNM,Viet Nam,2016,12600.0
VNM,Viet Nam,2017,14100.0
VNM,Viet Nam,2018,15500.0
VNM,Viet Nam,2019,16120.0
VNM,Viet Nam,2020,15800.0
VNM,Viet Nam,2021,15660.0
VNM,Viet Nam,2022,17900.0
VNM,Viet Nam,2023,18500.0
